id,degree,grnprice,grnmoney
1140,bachelor's,fairly willing,"yes, i have"
1149,high school,fairly willing,"no, i have not"
1150,less than high school,fairly willing,"no, i have not"
1151,graduate,fairly willing,"yes, i have"
1152,high school,fairly willing,"no, i have not"
1154,graduate,fairly willing,"no, i have not"
1158,bachelor's,very willing,"yes, i have"
1162,bachelor's,neither willing nor unwilling,"no, i have not"
1163,graduate,neither willing nor unwilling,"no, i have not"
1164,bachelor's,fairly unwilling,"no, i have not"
1165,graduate,fairly willing,"yes, i have"
1168,bachelor's,very unwilling,"no, i have not"
1169,high school,fairly unwilling,"no, i have not"
1172,high school,very willing,"no, i have not"
1176,graduate,fairly unwilling,"yes, i have"
1177,graduate,fairly unwilling,"no, i have not"
1178,high school,fairly willing,"no, i have not"
1181,associate/junior college,neither willing nor unwilling,"no, i have not"
1183,high school,neither willing nor unwilling,"no, i have not"
1186,bachelor's,fairly willing,"no, i have not"
1188,high school,fairly willing,"yes, i have"
1191,high school,neither willing nor unwilling,"yes, i have"
1192,high school,neither willing nor unwilling,"no, i have not"
1193,bachelor's,fairly willing,"no, i have not"
1195,bachelor's,fairly willing,"no, i have not"
1197,bachelor's,neither willing nor unwilling,"no, i have not"
1199,graduate,very willing,"yes, i have"
1200,bachelor's,neither willing nor unwilling,"no, i have not"
1201,graduate,fairly willing,"no, i have not"
1206,graduate,fairly willing,"yes, i have"
1207,graduate,fairly unwilling,"no, i have not"
1212,high school,fairly unwilling,"no, i have not"
1215,bachelor's,fairly willing,"no, i have not"
1222,high school,fairly willing,"no, i have not"
1224,graduate,neither willing nor unwilling,"no, i have not"
1228,high school,fairly unwilling,"no, i have not"
1230,bachelor's,neither willing nor unwilling,"no, i have not"
1235,high school,fairly unwilling,"no, i have not"
1236,high school,very willing,"yes, i have"
1237,associate/junior college,neither willing nor unwilling,"no, i have not"
1238,high school,neither willing nor unwilling,"no, i have not"
1244,high school,fairly unwilling,"no, i have not"
1245,high school,very unwilling,"no, i have not"
1248,less than high school,fairly willing,"yes, i have"
1250,bachelor's,fairly unwilling,"no, i have not"
1252,associate/junior college,fairly unwilling,"no, i have not"
1253,graduate,neither willing nor unwilling,"no, i have not"
1256,high school,fairly willing,"no, i have not"
1259,graduate,very willing,"yes, i have"
1260,graduate,fairly willing,"no, i have not"
1261,high school,fairly willing,"no, i have not"
1265,graduate,very unwilling,"no, i have not"
1268,graduate,fairly willing,"yes, i have"
1272,graduate,fairly willing,"no, i have not"
1273,graduate,fairly willing,"no, i have not"
1280,high school,neither willing nor unwilling,"yes, i have"
1283,bachelor's,neither willing nor unwilling,"no, i have not"
1285,graduate,fairly willing,"yes, i have"
1287,graduate,very willing,"no, i have not"
1289,graduate,neither willing nor unwilling,"no, i have not"
1290,graduate,fairly unwilling,"no, i have not"
1294,high school,fairly unwilling,"yes, i have"
1295,graduate,very willing,"yes, i have"
1297,bachelor's,fairly unwilling,"no, i have not"
1299,graduate,fairly willing,"no, i have not"
1303,bachelor's,fairly willing,"no, i have not"
1304,associate/junior college,fairly willing,"yes, i have"
1306,bachelor's,neither willing nor unwilling,"no, i have not"
1307,high school,fairly unwilling,"no, i have not"
1308,high school,fairly willing,"no, i have not"
1312,associate/junior college,very unwilling,"no, i have not"
1315,associate/junior college,fairly willing,"yes, i have"
1316,high school,neither willing nor unwilling,"yes, i have"
1317,graduate,fairly willing,"no, i have not"
1318,bachelor's,fairly willing,"no, i have not"
1319,associate/junior college,neither willing nor unwilling,"no, i have not"
1322,high school,neither willing nor unwilling,"no, i have not"
1323,bachelor's,fairly willing,"no, i have not"
1325,high school,very unwilling,"no, i have not"
1326,bachelor's,fairly unwilling,"no, i have not"
1327,high school,fairly willing,"no, i have not"
1332,graduate,fairly willing,"yes, i have"
1334,bachelor's,fairly willing,"no, i have not"
1336,bachelor's,fairly unwilling,"no, i have not"
1338,high school,neither willing nor unwilling,"no, i have not"
1339,high school,neither willing nor unwilling,"no, i have not"
1344,graduate,neither willing nor unwilling,"yes, i have"
1346,graduate,neither willing nor unwilling,"no, i have not"
1347,high school,fairly willing,"no, i have not"
1348,high school,neither willing nor unwilling,"no, i have not"
1349,associate/junior college,neither willing nor unwilling,"no, i have not"
1350,bachelor's,fairly unwilling,"no, i have not"
1357,bachelor's,very unwilling,"no, i have not"
1361,bachelor's,neither willing nor unwilling,"yes, i have"
1363,bachelor's,fairly willing,"no, i have not"
1368,high school,fairly willing,"no, i have not"
1370,graduate,neither willing nor unwilling,"yes, i have"
1371,associate/junior college,fairly unwilling,"no, i have not"
1376,graduate,very willing,"no, i have not"
1382,high school,very unwilling,"no, i have not"
1384,high school,very unwilling,"no, i have not"
1385,bachelor's,neither willing nor unwilling,"no, i have not"
1387,less than high school,fairly unwilling,"no, i have not"
1388,graduate,fairly willing,"no, i have not"
1394,less than high school,very unwilling,"no, i have not"
1398,graduate,neither willing nor unwilling,"yes, i have"
1401,bachelor's,fairly unwilling,"no, i have not"
1402,associate/junior college,fairly willing,"no, i have not"
1406,less than high school,neither willing nor unwilling,"no, i have not"
1409,associate/junior college,fairly willing,"yes, i have"
1410,associate/junior college,very unwilling,"no, i have not"
1411,high school,very unwilling,"no, i have not"
1413,high school,fairly willing,"no, i have not"
1417,high school,fairly willing,"no, i have not"
1418,bachelor's,fairly unwilling,"no, i have not"
1420,bachelor's,fairly willing,"yes, i have"
1421,associate/junior college,very unwilling,"no, i have not"
1427,bachelor's,very willing,"no, i have not"
1429,bachelor's,very unwilling,"no, i have not"
1431,bachelor's,fairly willing,"no, i have not"
1434,high school,very willing,"no, i have not"
1435,high school,fairly willing,"no, i have not"
1437,associate/junior college,fairly willing,"no, i have not"
1438,high school,neither willing nor unwilling,"no, i have not"
1442,high school,fairly willing,"no, i have not"
1447,high school,very unwilling,"no, i have not"
1448,bachelor's,fairly unwilling,"yes, i have"
1451,graduate,very willing,"yes, i have"
1453,high school,fairly willing,"no, i have not"
1457,high school,fairly unwilling,"yes, i have"
1460,high school,fairly willing,"no, i have not"
1463,high school,fairly unwilling,"no, i have not"
1466,high school,neither willing nor unwilling,"no, i have not"
1470,graduate,fairly willing,"no, i have not"
1474,graduate,fairly unwilling,"no, i have not"
1477,graduate,fairly unwilling,"yes, i have"
1479,less than high school,very willing,"yes, i have"
1480,high school,fairly unwilling,"no, i have not"
1484,high school,neither willing nor unwilling,"no, i have not"
1485,graduate,fairly willing,"no, i have not"
1489,bachelor's,neither willing nor unwilling,"no, i have not"
1490,high school,fairly willing,"no, i have not"
1491,graduate,fairly willing,"yes, i have"
1495,bachelor's,neither willing nor unwilling,"no, i have not"
1498,less than high school,neither willing nor unwilling,"no, i have not"
1504,high school,fairly willing,"no, i have not"
1506,less than high school,fairly willing,"no, i have not"
1513,high school,neither willing nor unwilling,"no, i have not"
1514,bachelor's,neither willing nor unwilling,"no, i have not"
1519,associate/junior college,fairly willing,"no, i have not"
1521,high school,fairly unwilling,"no, i have not"
